Time,Conc(mg/m3),Qtot(m3),no(V),WS(MPS),WS(MPS),RH(%),Delta(C),AT(C),E,U,M,I,L,R,N,F,P,D,C,T,
01/01/17 01:00,  0.020, 0.834, 0.002,   0.1,   0.1,    17,  95.0,   1.4,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 02:00,  0.027, 0.834, 0.002,   0.1,   0.1,    17,  95.0,   0.5,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 03:00,  0.021, 0.834, 0.003,   0.1,   0.1,    17,  95.0,  -0.1,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 04:00,  0.017, 0.834, 0.003,   0.1,   0.1,    17,  95.0,  -0.5,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 05:00,  0.022, 0.834, 0.003,   0.1,   0.1,    16,  94.9,  -1.2,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 06:00,  0.016, 0.834, 0.003,   0.1,   0.1,    17,  94.9,  -1.3,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 07:00,  0.012, 0.834, 0.003,   0.1,   0.1,    17,  94.9,  -1.1,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 08:00,  0.011, 0.834, 0.003,   0.1,   0.1,    17,  94.9,  -1.4,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 09:00,  0.009, 0.834, 0.003,   0.1, 0.082,    19,  94.9,  -0.1,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 10:00,  0.007, 0.834, 0.003,   0.1, 0.002,    20,  94.9,   2.2,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 11:00,  0.010, 0.834, 0.003,   0.1, 0.002,    20,  94.9,   6.0,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 12:00,  0.012, 0.834, 0.003,   0.1, 0.002,    19,  95.0,   8.1,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 13:00,  0.009, 0.834, 0.003,   0.1, 0.001,    19,  95.0,   9.1,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 14:00,  0.017, 0.834, 0.002,   0.1, 0.001,    19,  95.0,   9.7,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 15:00,  0.020, 0.834, 0.002,   0.1, 0.001,    18,  95.0,   9.7,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 16:00,  0.015, 0.834, 0.002,   0.1, 0.002,    18,  95.0,   9.3,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 17:00,  0.016, 0.834, 0.002,   0.1, 0.001,    18,  95.0,   8.5,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 18:00,  0.011, 0.834, 0.002,   0.1, 0.002,    18,  95.0,   7.9,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 19:00,  0.021, 0.834, 0.002,   0.1, 0.001,    19,  95.0,   6.9,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 20:00,  0.027, 0.834, 0.002,   0.1, 0.001,    19,  95.0,   6.7,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 21:00,  0.017, 0.834, 0.002,   0.1, 0.001,    18,  95.0,   6.3,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 22:00,  0.016, 0.834, 0.002,   0.1, 0.001,    17,  95.0,   4.9,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 23:00,  0.016, 0.834, 0.002,   0.1, 0.001,    18,  95.0,   4.2,0,0,0,0,0,0,0,0,0,0,0,0,
