Time,Conc(mg/m3),Qtot(m3),no(V),WS(MPS),no(V),RH(%),no(V),AT(C),E,U,M,I,L,R,N,F,P,D,C,T,
01/01/17 01:00,  0.022, 0.700, 2.342, 111.8, 2.500,    19, 2.500,   1.2,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 02:00,  0.022, 0.701, 2.339, 111.8, 2.500,    19, 2.500,   0.3,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 03:00,  0.017, 0.700, 2.349, 111.8, 2.500,    19, 2.500,  -0.4,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 04:00,  0.013, 0.700, 2.355, 111.8, 2.500,    19, 2.500,  -0.7,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 05:00,  0.014, 0.701, 2.353, 111.8, 2.500,    19, 2.500,  -1.4,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 06:00,  0.003, 0.700, 2.350, 111.8, 2.500,    19, 2.500,  -1.6,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 07:00, -0.005, 0.701, 2.357, 111.8, 2.500,    20, 2.500,  -1.3,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 08:00, -0.001, 0.701, 2.352, 111.8, 2.500,    19, 2.500,  -1.6,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 09:00,  0.004, 0.701, 2.359, 111.8, 2.500,    21, 2.500,  -0.0,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 10:00,  0.009, 0.700, 2.354, 111.8, 2.500,    22, 2.500,   2.4,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 11:00,  0.017, 0.700, 2.349, 111.8, 2.500,    20, 2.500,   6.2,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 12:00,  0.012, 0.700, 2.358, 111.8, 2.500,    20, 2.500,   8.2,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 13:00,  0.008, 0.700, 2.353, 111.8, 2.500,    20, 2.500,   8.9,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 14:00,  0.005, 0.700, 2.343, 111.8, 2.500,    20, 2.500,   9.5,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 15:00,  0.005, 0.700, 2.342, 111.8, 2.500,    20, 2.500,   9.4,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 16:00,  0.003, 0.700, 2.346, 111.8, 2.500,    20, 2.500,   9.0,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 17:00,  0.005, 0.700, 2.339, 111.8, 2.500,    21, 2.500,   8.1,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 18:00,  0.003, 0.700, 2.346, 111.8, 2.500,    21, 2.500,   7.6,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 19:00,  0.003, 0.701, 2.350, 111.8, 2.500,    22, 2.500,   6.6,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 20:00,  0.023, 0.700, 2.349,111.760, 2.500,    22, 2.500,   6.4,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 21:00,  0.007, 0.700, 2.337, 2.500, 2.500,    20, 2.500,   6.1,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 22:00,  0.004, 0.700, 2.345, 2.500, 2.500,    19, 2.500,   4.7,0,0,0,0,0,0,0,0,0,0,0,0,
01/01/17 23:00,  0.004, 0.700, 2.357, 2.500, 2.500,    20, 2.500,   4.0,0,0,0,0,0,0,0,0,0,0,0,0,
01/02/17 00:00,  0.008, 0.700, 2.360, 2.500, 2.500,    20, 2.500,   4.2,0,0,0,0,0,0,0,0,0,0,0,0,
01/02/17 01:00,  0.015, 0.700, 2.351, 2.500, 2.500,    20, 2.500,   4.5,0,0,0,0,0,0,0,0,0,0,0,0,
01/02/17 02:00,  0.008, 0.700, 2.358, 2.500, 2.500,    20, 2.500,   4.4,0,0,0,0,0,0,0,0,0,0,0,0,
01/02/17 03:00,  0.008, 0.700, 2.352, 2.500, 2.500,    20, 2.500,   4.1,0,0,0,0,0,0,0,0,0,0,0,0,
