,Atascadero,Atascadero,Atascadero,Atascadero,Atascadero,Atascadero,Atascadero,Atascadero,Atascadero,Atascadero,Atascadero,Atascadero
,WSV,WDV,AMT,RMT,O3,NO,NO2,NOX,BAM25,BAM10,BAM10STD,SIGT
Date,,,,,,,,,,,,
01-Jan-2017 00:00,0.3,320,2.5,25,5,0,7,8,21,19,18,68.9
01-Jan-2017 01:00,0.1,102,1.7,24.5,2,1,7,9,21,26,25,45.1
01-Jan-2017 02:00,0.2,182,1,24,1,2,7,10,17,21,20,64.9
01-Jan-2017 03:00,1.7,195,0.6,23.4,1,4,7,12,12,16,16,32.5
01-Jan-2017 04:00,1,192,0,22.9,0,5,6,12,13,21,20,41.2
01-Jan-2017 05:00,0.3,143,-0.3,22.4,1,3,5,8,2,15,15,56.2
01-Jan-2017 06:00,1.6,190,0,22.1,0,5,6,12,-5,12,11,49.1
01-Jan-2017 07:00,0.9,188,-0.3,21.7,1,7,5,12,0,11,10,49
01-Jan-2017 08:00,1.3,47,0.4,21.6,3,6,3,9,3,9,8,38.2
01-Jan-2017 09:00,1.5,38,2.2,22,7,3,2,6,9,7,6,33
01-Jan-2017 10:00,0.6,240,5.6,22.9,16,3,3,6,16,10,9,63.2
01-Jan-2017 11:00,1.1,45,8,24.1,21,1,3,4,11,11,11,59.8
01-Jan-2017 12:00,1.5,312,9,24.4,32,0,0,1,7,8,8,49.5
01-Jan-2017 13:00,3.5,246,9.8,24,37,0,0,1,5,17,16,33.7
01-Jan-2017 14:00,3.9,228,9.8,23.8,41,0,0,1,4,20,19,31.7
01-Jan-2017 15:00,3,226,9.5,23.8,40,0,0,1,3,15,14,35.2
01-Jan-2017 16:00,2.3,255,9.1,23.9,39,0,1,1,5,15,15,29.5
01-Jan-2017 17:00,0.8,193,8.7,24,36,0,2,3,3,10,10,49.6
01-Jan-2017 18:00,0.4,158,7.8,24.1,23,0,6,7,3,20,19,64.5
01-Jan-2017 19:00,0.8,38,7.7,24.3,18,0,10,10,22,26,25,45.1
01-Jan-2017 20:00,1.2,20,7.3,24.3,30,0,2,2,7,17,16,61.4
01-Jan-2017 21:00,0.1,183,6.1,24.3,26,0,3,3,4,15,14,59.6
01-Jan-2017 22:00,0.4,176,5.4,24.5,17,0,4,4,4,15,14,52.2
01-Jan-2017 23:00,1.2,179,5.5,24.6,,,,,7,19,19,12.7
02-Jan-2017 00:00,1.4,185,5.8,24.5,14,0,7,8,15,20,20,17.1
02-Jan-2017 01:00,0.5,197,5.6,24.5,12,0,6,7,7,18,18,57.6
02-Jan-2017 02:00,1.1,187,5.4,24.6,14,0,5,6,7,21,20,28.6
02-Jan-2017 03:00,1.7,198,4.9,24.8,12,0,4,4,7,12,11,32.5
02-Jan-2017 04:00,2.2,198,4.9,24.8,16,0,4,4,5,11,11,18.6
02-Jan-2017 05:00,0.1,183,4.7,24.8,13,0,5,5,6,11,11,32.3
02-Jan-2017 06:00,0.9,53,4.2,24.8,8,0,6,7,6,10,9,35.6
02-Jan-2017 07:00,0.3,204,4.2,24.8,8,0,5,6,4,6,6,32
02-Jan-2017 08:00,1.6,196,4.8,24.8,4,9,13,23,2,18,18,24.2
02-Jan-2017 09:00,1.7,183,6.8,24.6,17,4,7,11,4,20,19,39.4
02-Jan-2017 10:00,2.3,165,8.6,24.2,29,0,2,2,5,18,17,29.3
02-Jan-2017 11:00,2.9,194,9.6,24,36,0,2,3,6,16,16,25.7
02-Jan-2017 12:00,3.8,208,9.9,23.9,40,0,1,1,8,18,18,25.1
02-Jan-2017 13:00,3.6,194,10.3,23.8,40,0,1,1,8,15,15,27.4
02-Jan-2017 14:00,4.4,199,10.8,23.7,39,0,1,1,8,14,13,25.6
02-Jan-2017 15:00,2.9,224,10.4,23.7,38,0,1,2,8,19,19,28.2
02-Jan-2017 16:00,2.5,240,9.6,23.8,36,0,3,3,7,19,19,26.4
02-Jan-2017 17:00,2.9,195,9.3,24,30,1,7,9,17,23,23,18.5
02-Jan-2017 18:00,1.8,180,8.7,24,26,0,8,8,11,28,28,23.8
02-Jan-2017 19:00,1.5,174,8.3,24.1,26,0,7,8,11,25,25,23.7
02-Jan-2017 20:00,0.1,219,6.9,24.2,14,0,12,13,18,27,27,64.9
02-Jan-2017 21:00,0.2,350,5.8,24.4,5,1,16,18,24,31,30,60
02-Jan-2017 22:00,0.8,188,5.8,24.4,8,0,12,13,14,29,28,29.9
02-Jan-2017 23:00,0.9,194,6.1,24.5,,,,,21,35,34,43.2
03-Jan-2017 00:00,1.2,189,6.1,24.5,7,0,11,12,14,33,32,26.2
03-Jan-2017 01:00,0.2,136,5.2,24.6,5,1,8,9,15,25,24,58.1
03-Jan-2017 02:00,0.3,6,4.6,24.8,4,0,7,8,8,23,22,42.1
03-Jan-2017 03:00,0,106,4.2,24.8,2,0,7,8,8,25,24,59
03-Jan-2017 04:00,0.3,79,4.4,24.8,2,1,8,9,8,14,14,40.8
03-Jan-2017 05:00,0.9,7,4.3,24.9,2,1,7,9,7,16,16,41.3
03-Jan-2017 06:00,0.7,12,4.5,24.9,2,7,9,16,10,21,20,55.5
03-Jan-2017 07:00,0.6,357,4.7,24.9,2,6,9,16,11,19,19,36.1
03-Jan-2017 08:00,0.2,149,5.5,24.9,2,43,11,55,10,19,19,46.7
03-Jan-2017 09:00,0.3,4,7.4,24.5,6,17,14,32,10,23,22,57.4
03-Jan-2017 10:00,0.8,7,9.8,24.1,15,5,7,13,9,15,15,49.4
03-Jan-2017 11:00,8,186,12.8,23.6,39,0,1,2,6,0,0,19.4
03-Jan-2017 12:00,8.5,187,12.7,23.4,37,0,1,2,1,2,2,19.6
03-Jan-2017 13:00,7.1,186,12.6,23.4,36,0,1,2,1,9,9,19.8
03-Jan-2017 14:00,4.9,173,12.8,23.4,36,0,2,3,4,13,13,21.6
03-Jan-2017 15:00,4.5,169,12.7,23.5,34,0,4,4,4,16,15,23.2
03-Jan-2017 16:00,5,183,12.4,23.5,35,0,3,3,4,13,13,20.6
03-Jan-2017 17:00,4.8,175,12,23.5,34,0,3,3,3,10,10,20.4
03-Jan-2017 18:00,5.3,177,11.7,23.6,34,0,3,3,2,6,6,20.3
03-Jan-2017 19:00,6.3,178,11.9,23.5,36,0,1,1,2,5,5,19.9
03-Jan-2017 20:00,5.4,175,11.3,23.6,34,0,2,2,0,5,5,19.4
03-Jan-2017 21:00,4.4,181,10.7,23.7,33,0,2,3,3,0,0,19.8
03-Jan-2017 22:00,5.5,180,10.4,23.9,34,0,1,1,3,0,0,17.2
03-Jan-2017 23:00,5.8,168,10.6,24,,,,,1,1,1,22.3
04-Jan-2017 00:00,5.3,172,10.7,23.8,36,0,0,0,-1,0,0,22.6
04-Jan-2017 01:00,6.3,181,10.8,23.8,36,0,0,0,-4,2,2,18.8
