Site,Parameter,Sequence,Phase,Start Time,End Time,Value,Expected Value,% Error,Drift Limit %
zNRP_cals,NO2-cal,GASCALS,SPAN,01-Mar-2016 05:30:00,01-Mar-2016 05:35:00,360,375.311,3.98, 
zNRP_cals,NO2-cal,GASCALS,PREC,01-Mar-2016 05:30:00,01-Mar-2016 05:40:00,66,70.207,5.61, 
zNRP_cals,NO2-cal,GASCALS,ZERO,01-Mar-2016 05:30:00,01-Mar-2016 05:45:00,-1,0.0,-.5, 
zNRP_cals,NO2-cal,GASCALS%,SPAN,01-Mar-2016 05:57:00,01-Mar-2016 06:02:00,-4,0.0,-3.98, 
zNRP_cals,NO2-cal,GASCALS%,PREC,01-Mar-2016 05:57:00,01-Mar-2016 06:07:04,-6,0.0,-5.61, 
zNRP_cals,NO2-cal,GASCALS%,ZERO,01-Mar-2016 05:57:00,01-Mar-2016 06:12:04,-1,0.0,-.5, 
zNRP_cals,NO-cal,GASCALS,SPAN,01-Mar-2016 05:30:00,01-Mar-2016 05:35:00,443,456.4,2.97, 
zNRP_cals,NO-cal,GASCALS,PREC,01-Mar-2016 05:30:00,01-Mar-2016 05:40:00,194,204.6,5.26, 
zNRP_cals,NO-cal,GASCALS,ZERO,01-Mar-2016 05:30:00,01-Mar-2016 05:45:00,0,0.0,.32, 
zNRP_cals,NO-cal,GASCALS%,SPAN,01-Mar-2016 05:57:00,01-Mar-2016 06:02:00,-3,0.0,-2.97, 
zNRP_cals,NO-cal,GASCALS%,PREC,01-Mar-2016 05:57:00,01-Mar-2016 06:07:04,-5,0.0,-5.26, 
zNRP_cals,NO-cal,GASCALS%,ZERO,01-Mar-2016 05:57:00,01-Mar-2016 06:12:04,0,0.0,.32, 
zNRP_cals,NOX-cal,GASCALS,SPAN,01-Mar-2016 05:30:00,01-Mar-2016 05:35:00,441,456.4,3.29, 
zNRP_cals,NOX-cal,GASCALS,PREC,01-Mar-2016 05:30:00,01-Mar-2016 05:40:00,191,204.6,6.45, 
zNRP_cals,NOX-cal,GASCALS,ZERO,01-Mar-2016 05:30:00,01-Mar-2016 05:45:00,0,0.0,-.44, 
zNRP_cals,NOX-cal,GASCALS%,SPAN,01-Mar-2016 05:57:00,01-Mar-2016 06:02:00,-3,0.0,-3.29, 
zNRP_cals,NOX-cal,GASCALS%,PREC,01-Mar-2016 05:57:00,01-Mar-2016 06:07:04,-6,0.0,-6.45, 
zNRP_cals,NOX-cal,GASCALS%,ZERO,01-Mar-2016 05:57:00,01-Mar-2016 06:12:04,0,0.0,-.44, 
zNRP_cals,NOXCON,GASCALS,SPAN,01-Mar-2016 05:30:00,01-Mar-2016 05:35:00,97,100,2.54, 
zNRP_cals,NOXCON,GASCALS,PREC,01-Mar-2016 05:30:00,01-Mar-2016 05:40:00,99,100,.91, 
zNRP_cals,NOXCON,GASCALS,ZERO,01-Mar-2016 05:30:00,01-Mar-2016 05:45:00,98,100,1.73, 
zNRP_cals,O3-cal,GASCALS,SPAN,01-Mar-2016 05:30:00,01-Mar-2016 05:35:00,349,348,.38, 
zNRP_cals,O3-cal,GASCALS,PREC,01-Mar-2016 05:30:00,01-Mar-2016 05:40:00,67,67,.44, 
zNRP_cals,O3-cal,GASCALS,ZERO,01-Mar-2016 05:30:00,01-Mar-2016 05:45:00,1,0.0,.83, 
zNRP_cals,O3-cal,GASCALS%,SPAN,01-Mar-2016 05:57:00,01-Mar-2016 06:02:00,0,0.0,.38, 
zNRP_cals,O3-cal,GASCALS%,PREC,01-Mar-2016 05:57:00,01-Mar-2016 06:07:04,0,0.0,-.44, 
zNRP_cals,O3-cal,GASCALS%,ZERO,01-Mar-2016 05:57:00,01-Mar-2016 06:12:04,1,0.0,.83, 
zNRP_cals,NO2-cal,GASCALS,SPAN,02-Mar-2016 05:30:00,02-Mar-2016 05:35:00,361,373.136,3.35, 
zNRP_cals,NO2-cal,GASCALS,PREC,02-Mar-2016 05:30:00,02-Mar-2016 05:40:00,67,69.472,3.42, 
zNRP_cals,NO2-cal,GASCALS,ZERO,02-Mar-2016 05:30:00,02-Mar-2016 05:45:00,-1,0.0,-.53, 
zNRP_cals,NO2-cal,GASCALS%,SPAN,02-Mar-2016 05:57:00,02-Mar-2016 06:02:00,-3,0.0,-3.35, 
zNRP_cals,NO2-cal,GASCALS%,PREC,02-Mar-2016 05:57:00,02-Mar-2016 06:07:05,-3,0.0,-3.42, 
zNRP_cals,NO2-cal,GASCALS%,ZERO,02-Mar-2016 05:57:00,02-Mar-2016 06:12:04,-1,0.0,-.53, 
zNRP_cals,NO-cal,GASCALS,SPAN,02-Mar-2016 05:30:00,02-Mar-2016 05:35:00,443,456.4,2.9, 
zNRP_cals,NO-cal,GASCALS,PREC,02-Mar-2016 05:30:00,02-Mar-2016 05:40:00,194,204.6,5.29, 
zNRP_cals,NO-cal,GASCALS,ZERO,02-Mar-2016 05:30:00,02-Mar-2016 05:45:00,0,0.0,.06, 
zNRP_cals,NO-cal,GASCALS%,SPAN,02-Mar-2016 05:57:00,02-Mar-2016 06:02:00,-3,0.0,-2.9, 
zNRP_cals,NO-cal,GASCALS%,PREC,02-Mar-2016 05:57:00,02-Mar-2016 06:07:05,-5,0.0,-5.29, 
zNRP_cals,NO-cal,GASCALS%,ZERO,02-Mar-2016 05:57:00,02-Mar-2016 06:12:04,0,0.0,.06, 
zNRP_cals,NOX-cal,GASCALS,SPAN,02-Mar-2016 05:30:00,02-Mar-2016 05:35:00,442,456.4,3.24, 
zNRP_cals,NOX-cal,GASCALS,PREC,02-Mar-2016 05:30:00,02-Mar-2016 05:40:00,192,204.6,6.14, 
zNRP_cals,NOX-cal,GASCALS,ZERO,02-Mar-2016 05:30:00,02-Mar-2016 05:45:00,-1,0.0,-.62, 
zNRP_cals,NOX-cal,GASCALS%,SPAN,02-Mar-2016 05:57:00,02-Mar-2016 06:02:00,-3,0.0,-3.24, 
zNRP_cals,NOX-cal,GASCALS%,PREC,02-Mar-2016 05:57:00,02-Mar-2016 06:07:05,-6,0.0,-6.14, 
zNRP_cals,NOX-cal,GASCALS%,ZERO,02-Mar-2016 05:57:00,02-Mar-2016 06:12:04,-1,0.0,-.62, 
zNRP_cals,NOXCON,GASCALS,SPAN,02-Mar-2016 05:30:00,02-Mar-2016 05:35:00,98,100,1.91, 
zNRP_cals,NOXCON,GASCALS,PREC,02-Mar-2016 05:30:00,02-Mar-2016 05:40:00,100,100,.04, 
zNRP_cals,NOXCON,GASCALS,ZERO,02-Mar-2016 05:30:00,02-Mar-2016 05:45:00,99,100,.94, 
zNRP_cals,O3-cal,GASCALS,SPAN,02-Mar-2016 05:30:00,02-Mar-2016 05:35:00,350,348,.48, 
zNRP_cals,O3-cal,GASCALS,PREC,02-Mar-2016 05:30:00,02-Mar-2016 05:40:00,66,67,1.33, 
zNRP_cals,O3-cal,GASCALS,ZERO,02-Mar-2016 05:30:00,02-Mar-2016 05:45:00,0,0.0,.49, 
zNRP_cals,O3-cal,GASCALS%,SPAN,02-Mar-2016 05:57:00,02-Mar-2016 06:02:00,0,0.0,.48, 
zNRP_cals,O3-cal,GASCALS%,PREC,02-Mar-2016 05:57:00,02-Mar-2016 06:07:05,-1,0.0,-1.33, 
zNRP_cals,O3-cal,GASCALS%,ZERO,02-Mar-2016 05:57:00,02-Mar-2016 06:12:04,0,0.0,.49, 
zNRP_cals,NO2-cal,GASCALS,SPAN,03-Mar-2016 05:30:00,03-Mar-2016 05:35:00,393,387.492,1.44, 
zNRP_cals,NO2-cal,GASCALS,PREC,03-Mar-2016 05:30:00,03-Mar-2016 05:40:00,100,96.333,4.18, 
zNRP_cals,NO2-cal,GASCALS,ZERO,03-Mar-2016 05:30:00,03-Mar-2016 05:45:00,0,0.0,-.05, 
zNRP_cals,NO2-cal,GASCALS%,SPAN,03-Mar-2016 05:57:00,03-Mar-2016 06:02:00,1,0.0,1.44, 
zNRP_cals,NO2-cal,GASCALS%,PREC,03-Mar-2016 05:57:00,03-Mar-2016 06:07:05,4,0.0,4.18, 
zNRP_cals,NO2-cal,GASCALS%,ZERO,03-Mar-2016 05:57:00,03-Mar-2016 06:12:05,0,0.0,-.05, 
