,RED HILLS,RED HILLS,RED HILLS,RED HILLS,RED HILLS,RED HILLS
,WSV,WDR,ATM,RMT,O3,SIGT
Date,,,,,,
01-Jun-2015 00:00,10.2,238,8.2,23.6,36,4.3
01-Jun-2015 01:00,10,247,7.2,22.8,35,10.2
01-Jun-2015 02:00,7.4,245,6.2,21.8,32,52.1
01-Jun-2015 03:00,4.7,288,6.9,23.8,34,42.1
01-Jun-2015 04:00,4.8,302,10.3,22.9,,12.5
01-Jun-2015 05:00,3.4,282,11.7,23,40,13.3
01-Jun-2015 06:00,2.7,249,10.2,24.1,33,26.6
01-Jun-2015 07:00,1.4,255,14.9,24,38,48.9
01-Jun-2015 08:00,5.1,255,14.8,24.2,31,13.4
01-Jun-2015 09:00,3.8,270,17.9,24.8,34,37.4
01-Jun-2015 10:00,7,251,19.9,25.3,38,22.7
01-Jun-2015 11:00,3,269,21.7,26.1,39,55.8
01-Jun-2015 12:00,9.6,261,22.2,27.1,37,22.4
01-Jun-2015 13:00,11.3,270,22.6,26.3,30,22.3
01-Jun-2015 14:00,14.3,262,22.9,27.7,32,19.5
01-Jun-2015 15:00,19.4,256,22.6,26.4,27,14
01-Jun-2015 16:00,20.2,255,21.8,27,24,7.6
01-Jun-2015 17:00,21.2,258,20.4,26.2,24,5.1
01-Jun-2015 18:00,19.8,255,18.6,25.2,27,4.2
01-Jun-2015 19:00,16,252,16.2,24.7,30,2.8
01-Jun-2015 20:00,13.4,251,14.7,25.4,29,2.7
01-Jun-2015 21:00,11.9,247,13.5,24.3,30,2.7
01-Jun-2015 22:00,11.6,243,12.4,23.7,30,2.5
01-Jun-2015 23:00,12.1,236,11.6,24,30,2.4
02-Jun-2015 00:00,11.1,234,10.9,23.6,30,1.7
02-Jun-2015 01:00,6,240,10.6,23.2,29,4.2
02-Jun-2015 02:00,6,241,9.9,23.8,28,2.9
02-Jun-2015 03:00,4.1,202,9.9,23.6,27,15.3
02-Jun-2015 04:00,5.3,170,10.9,23.5,,7.9
02-Jun-2015 05:00,5.3,170,10.7,23.6,29,10
02-Jun-2015 06:00,4.7,195,12.6,23.3,30,16.4
02-Jun-2015 07:00,3.4,248,14.1,24.2,28,24
02-Jun-2015 08:00,4.7,265,15.8,24.9,30,23.9
02-Jun-2015 09:00,4.8,275,18.1,24.9,31,29.4
02-Jun-2015 10:00,6,269,19.8,25.4,34,33.3
02-Jun-2015 11:00,4.1,335,21.9,26.3,39,48.9
02-Jun-2015 12:00,4.8,333,23.2,27.5,42,57
02-Jun-2015 13:00,2.6,34,23.8,26.4,44,62
02-Jun-2015 14:00,4.1,58,24.7,28.5,44,42.6
02-Jun-2015 15:00,5.5,47,24.8,26.7,46,51.9
02-Jun-2015 16:00,3.8,44,24.9,28.6,46,46
02-Jun-2015 17:00,8,285,24.6,26.8,44,52.4
02-Jun-2015 18:00,13.6,250,22,27,37,7.3
02-Jun-2015 19:00,12.8,240,19.7,26.2,32,5
02-Jun-2015 20:00,6.1,222,18,25.3,34,24.2
02-Jun-2015 21:00,3.6,238,16.6,25.1,33,16.5
02-Jun-2015 22:00,5.2,244,14.6,25,32,3.8
